age;job;balance;loan;marital;education;default;housing;contact;campaign;deposit
81;retired;5220;no;married;primary;no;no;telephone;1;yes
71;retired;2600;no;married;primary;no;no;cellular;2;yes
39;admin.;260;no;married;secondary;no;yes;cellular;1;yes
NA;student;608;no;single;primary;no;no;cellular;1;yes
58;services;462;no;divorced;secondary;no;no;cellular;1;yes
44;technician;14;no;divorced;secondary;no;no;cellular;1;yes
67;retired;1146;no;married;secondary;no;no;cellular;1;yes
31;services;181;no;single;secondary;no;no;cellular;2;yes
61;retired;3114;no;married;secondary;no;no;cellular;1;yes
36;technician;376;no;single;secondary;no;no;cellular;1;yes
NA;retired;9367;no;married;primary;no;no;telephone;2;yes
24;student;382;no;single;secondary;no;no;cellular;2;yes
33;admin.;920;no;married;secondary;no;no;cellular;1;yes
34;blue-collar;129;yes;single;unknown;no;yes;cellular;1;yes
58;admin.;NA;no;married;secondary;no;no;cellular;1;yes
64;retired;679;no;married;unknown;no;no;telephone;1;yes
27;blue-collar;535;no;single;secondary;no;no;cellular;1;yes
63;management;3115;no;married;tertiary;no;no;cellular;5;yes
23;student;1234;no;single;secondary;no;no;cellular;1;yes
37;technician;NA;no;single;tertiary;no;no;cellular;1;yes
43;management;3186;no;married;tertiary;no;no;cellular;1;yes
35;technician;3160;NA;married;tertiary;no;yes;cellular;2;yes
33;blue-collar;195;no;married;primary;no;no;cellular;5;yes
75;retired;6027;no;married;tertiary;no;no;cellular;2;yes
40;admin.;764;no;married;tertiary;no;yes;unknown;1;yes
NA;management;NA;no;married;tertiary;no;no;cellular;1;yes
55;technician;0;no;divorced;tertiary;no;no;cellular;2;yes
71;retired;NA;no;married;secondary;no;no;cellular;2;yes
NA;retired;1204;no;married;tertiary;no;no;telephone;1;yes
35;technician;4922;no;married;secondary;no;yes;cellular;4;yes
52;technician;234;no;married;secondary;no;no;cellular;1;yes
31;management;9421;no;single;tertiary;no;no;cellular;1;yes
31;admin.;4198;no;single;secondary;no;no;cellular;1;yes
38;management;3576;no;married;unknown;no;no;cellular;2;yes
28;student;1925;no;single;secondary;no;no;cellular;1;yes
72;retired;NA;no;married;secondary;no;no;cellular;1;yes
29;admin.;265;no;single;secondary;no;yes;cellular;1;yes
46;housemaid;38;no;married;secondary;no;no;cellular;1;yes
53;technician;NA;yes;married;secondary;no;yes;cellular;1;yes
58;technician;3399;no;married;secondary;no;no;telephone;2;yes
NA;student;691;no;single;tertiary;no;no;cellular;5;yes
28;admin.;330;no;married;secondary;no;no;cellular;1;yes
31;technician;318;no;married;secondary;no;no;cellular;1;yes
26;blue-collar;644;no;single;tertiary;no;no;cellular;1;yes
60;retired;4;no;divorced;tertiary;no;yes;cellular;1;yes
29;technician;1165;no;single;secondary;no;no;cellular;2;yes
36;admin.;4708;no;divorced;tertiary;no;no;cellular;1;yes
68;retired;2820;no;married;tertiary;no;no;cellular;1;yes
48;management;1147;no;married;tertiary;no;no;cellular;1;yes
53;unemployed;980;no;married;primary;no;yes;cellular;1;yes
39;technician;2983;no;married;secondary;no;no;cellular;1;yes
28;services;339;no;single;secondary;no;no;cellular;1;yes
72;retired;NA;no;married;unknown;no;no;telephone;2;yes
29;management;1445;no;single;tertiary;no;no;cellular;2;yes
26;student;294;no;single;tertiary;no;no;cellular;2;yes
49;management;5887;no;married;tertiary;no;no;cellular;3;yes
43;management;11891;no;single;tertiary;no;no;cellular;5;yes
28;student;78;no;single;unknown;no;no;cellular;3;yes
44;admin.;733;no;single;secondary;no;yes;cellular;2;yes
73;retired;5028;no;divorced;primary;no;no;cellular;10;yes
39;management;481;no;married;tertiary;no;no;cellular;5;yes
29;student;314;no;single;secondary;no;no;cellular;2;yes
31;technician;684;no;married;secondary;no;yes;cellular;3;yes
30;student;1681;no;single;secondary;no;no;cellular;2;yes
50;admin.;10250;no;married;secondary;no;yes;cellular;3;yes
42;management;254;no;married;tertiary;no;no;cellular;7;yes
37;admin.;0;no;married;secondary;no;yes;cellular;1;yes
49;technician;307;no;married;secondary;no;no;cellular;1;yes
59;unemployed;957;no;married;secondary;no;no;cellular;2;yes
80;retired;155;no;married;primary;no;no;telephone;2;yes
86;retired;614;no;single;secondary;no;no;telephone;1;yes
69;retired;426;no;married;unknown;no;no;telephone;1;yes
79;retired;NA;no;married;secondary;no;no;cellular;2;yes
36;services;4721;no;married;secondary;no;no;cellular;3;yes
49;management;395;NA;married;tertiary;no;no;cellular;5;yes
69;retired;3588;NA;married;secondary;no;yes;cellular;1;yes
66;retired;2540;no;married;unknown;no;no;telephone;2;yes
32;management;883;no;divorced;tertiary;no;yes;cellular;1;yes
47;management;4402;no;single;tertiary;no;no;telephone;1;yes
58;management;256;no;married;tertiary;no;no;cellular;1;yes
64;retired;43;no;married;primary;no;no;cellular;1;yes
72;retired;3856;no;married;primary;no;no;cellular;4;yes
79;retired;3025;no;married;primary;no;no;cellular;3;yes
30;technician;2326;no;married;secondary;no;no;cellular;1;yes
36;management;925;no;married;tertiary;no;no;cellular;3;yes
53;entrepreneur;1961;no;married;tertiary;no;no;cellular;1;yes
34;management;2037;no;married;tertiary;no;no;cellular;2;yes
29;student;459;no;single;secondary;no;no;cellular;3;yes
29;management;572;no;single;tertiary;no;no;cellular;1;yes
81;retired;452;no;divorced;secondary;no;no;telephone;1;yes
57;retired;5313;no;married;secondary;no;no;cellular;2;yes
72;retired;NA;no;married;secondary;no;no;cellular;2;yes
34;services;1337;no;married;secondary;no;no;cellular;2;yes
57;management;2986;no;divorced;unknown;no;no;cellular;2;yes
66;housemaid;1230;no;married;primary;no;no;cellular;3;yes
27;student;538;no;single;secondary;no;no;cellular;4;yes
50;management;5108;no;married;tertiary;no;yes;cellular;1;yes
75;retired;1341;no;divorced;secondary;no;no;cellular;7;yes
50;services;320;no;married;secondary;no;no;telephone;3;yes
32;admin.;131;no;single;secondary;no;yes;cellular;1;yes
59;retired;2074;no;married;primary;no;no;cellular;1;yes
68;retired;1443;no;married;secondary;no;no;telephone;2;yes
31;technician;3338;no;married;tertiary;no;yes;cellular;2;yes
64;self-employed;661;no;married;tertiary;no;no;cellular;2;yes
30;unemployed;7105;no;divorced;secondary;no;no;cellular;2;yes
60;admin.;3735;no;married;secondary;no;no;cellular;1;yes
35;management;538;no;single;tertiary;no;no;cellular;3;yes
72;retired;4657;no;married;primary;no;no;cellular;3;yes
30;blue-collar;5;no;married;primary;no;no;cellular;1;yes
52;unemployed;230;no;divorced;secondary;no;no;cellular;2;yes
33;management;1808;no;married;tertiary;no;no;cellular;3;yes
84;retired;81204;no;married;secondary;no;no;telephone;1;yes
43;NA;3518;no;married;tertiary;no;no;cellular;2;yes
39;technician;25;no;single;tertiary;no;yes;cellular;1;yes
25;technician;NA;no;married;tertiary;no;no;cellular;3;yes
38;admin.;11303;no;married;secondary;no;no;cellular;2;yes
44;management;2724;no;married;unknown;no;no;cellular;1;yes
20;student;755;no;single;unknown;no;no;cellular;1;yes
32;management;NA;no;single;tertiary;no;yes;cellular;1;yes
23;services;870;no;single;secondary;no;no;cellular;1;yes
35;unemployed;978;no;married;secondary;no;no;cellular;3;yes
61;NA;544;no;married;secondary;no;no;cellular;3;yes
46;management;461;no;divorced;tertiary;no;no;cellular;2;yes
70;retired;2795;no;married;primary;no;no;cellular;2;yes
25;technician;139;yes;single;secondary;no;no;cellular;1;yes
57;retired;1044;no;married;secondary;no;no;telephone;1;yes
55;admin.;1633;no;married;secondary;no;no;cellular;1;yes
33;NA;6513;no;married;tertiary;no;yes;cellular;1;yes
73;retired;1388;no;married;primary;no;no;telephone;2;yes
34;unemployed;15;no;single;secondary;no;no;cellular;1;yes
31;technician;2544;NA;single;secondary;no;no;cellular;1;yes
25;blue-collar;2007;no;single;secondary;no;no;cellular;2;yes
30;technician;2166;no;married;tertiary;no;no;cellular;2;yes
NA;self-employed;4579;no;single;tertiary;no;no;cellular;2;yes
21;NA;2488;no;single;secondary;no;no;telephone;2;yes
87;retired;2190;no;married;primary;no;no;telephone;2;yes
22;student;254;no;single;secondary;no;no;cellular;2;yes
28;self-employed;1579;no;single;tertiary;no;no;cellular;1;yes
31;NA;330;no;married;tertiary;no;no;cellular;1;yes
60;NA;938;no;married;secondary;no;no;cellular;3;yes
41;technician;5372;no;single;unknown;no;yes;cellular;3;yes
24;student;3176;no;single;secondary;no;no;cellular;2;yes
54;NA;496;no;divorced;tertiary;no;no;cellular;3;yes
35;technician;0;no;single;tertiary;no;no;cellular;7;yes
70;retired;482;no;divorced;primary;no;no;telephone;1;yes
62;blue-collar;180;no;married;secondary;no;no;cellular;1;yes
59;technician;4198;no;married;primary;no;no;cellular;1;yes
NA;unemployed;817;no;married;secondary;no;no;cellular;1;yes
45;admin.;5021;no;married;secondary;no;no;cellular;1;yes
NA;admin.;991;no;married;unknown;no;no;cellular;2;yes
33;services;133;no;single;secondary;no;no;cellular;2;yes
32;NA;366;no;married;secondary;no;no;cellular;2;yes
60;retired;979;no;divorced;tertiary;no;yes;cellular;3;yes
39;management;2939;no;married;tertiary;no;no;cellular;2;yes
37;admin.;4803;no;single;secondary;no;no;cellular;2;yes
85;retired;1255;no;married;primary;no;no;cellular;3;yes
79;retired;8556;no;married;primary;no;no;telephone;2;yes
64;retired;588;no;married;secondary;no;no;cellular;1;yes
42;NA;994;no;married;secondary;no;yes;cellular;1;yes
47;blue-collar;820;no;married;secondary;no;no;cellular;1;yes
66;retired;203;no;married;secondary;no;no;cellular;1;yes
61;retired;86;no;married;secondary;no;no;cellular;1;yes
27;admin.;2855;no;married;tertiary;no;no;cellular;1;yes
NA;retired;NA;no;married;secondary;no;no;cellular;1;yes
36;management;NA;no;married;tertiary;no;no;cellular;1;yes
38;unemployed;7005;no;married;primary;no;yes;cellular;1;yes
92;retired;775;no;married;unknown;no;no;cellular;4;yes
77;retired;4112;no;married;secondary;no;no;telephone;1;yes
30;admin.;255;no;single;secondary;no;no;cellular;1;yes
81;retired;243;no;married;primary;no;no;cellular;1;yes
42;unknown;942;no;single;unknown;no;no;cellular;1;yes
48;admin.;1180;no;divorced;secondary;no;no;cellular;1;yes
52;services;992;no;married;secondary;no;yes;cellular;1;yes
38;housemaid;70;no;divorced;secondary;no;no;cellular;4;yes
61;admin.;4629;no;married;unknown;no;yes;cellular;1;yes
20;student;829;no;single;unknown;no;no;cellular;3;yes
39;admin.;0;no;married;secondary;no;no;cellular;1;yes
44;technician;2776;no;married;secondary;no;yes;cellular;1;yes
73;NA;279;no;married;primary;no;no;cellular;3;yes
36;student;129;no;single;tertiary;no;no;cellular;1;yes
48;management;157;no;married;tertiary;no;no;cellular;4;yes
52;services;659;no;married;secondary;no;no;cellular;4;yes
30;blue-collar;2493;NA;married;secondary;no;no;cellular;2;yes
36;management;3949;no;married;tertiary;no;no;cellular;2;yes
80;retired;997;no;married;primary;no;no;cellular;1;yes
33;technician;1699;no;married;tertiary;no;no;cellular;1;yes
56;technician;1181;no;married;tertiary;no;no;cellular;1;yes
54;admin.;0;no;married;secondary;no;no;cellular;1;yes
NA;admin.;NA;no;married;tertiary;no;no;cellular;2;yes
66;retired;1948;no;married;tertiary;no;no;cellular;1;yes
52;blue-collar;306;no;married;primary;no;no;cellular;1;yes
60;retired;18967;no;married;secondary;no;yes;cellular;2;yes
NA;admin.;261;yes;single;secondary;no;yes;cellular;3;yes
56;NA;694;no;divorced;primary;no;no;cellular;1;yes
36;technician;202;no;married;tertiary;no;no;cellular;1;yes
45;management;4831;no;single;tertiary;no;no;cellular;11;yes
60;management;264;no;married;unknown;no;no;telephone;1;yes
33;entrepreneur;278;no;single;secondary;no;no;cellular;5;yes
77;retired;7802;no;married;tertiary;no;no;telephone;2;yes
66;NA;3629;no;married;primary;no;no;cellular;1;yes
NA;management;547;no;married;tertiary;no;no;cellular;1;yes
30;student;4468;no;single;unknown;no;no;cellular;1;yes
56;services;1989;no;married;secondary;no;no;cellular;2;yes
64;housemaid;2645;no;married;unknown;no;no;telephone;2;yes
30;technician;4060;no;single;tertiary;no;no;cellular;1;yes
33;technician;303;no;married;secondary;no;yes;cellular;1;yes
NA;retired;2600;no;married;primary;no;no;cellular;2;yes
NA;technician;1818;yes;married;tertiary;no;yes;cellular;1;yes
37;admin.;728;no;single;secondary;no;no;cellular;1;yes
52;blue-collar;955;yes;married;secondary;no;no;cellular;1;yes
37;technician;265;yes;single;secondary;no;yes;cellular;1;yes
34;management;123;no;married;tertiary;no;no;cellular;3;yes
78;retired;4807;no;married;unknown;no;no;telephone;2;yes
45;NA;205;no;married;secondary;no;no;cellular;1;yes
68;retired;2812;no;married;tertiary;no;no;cellular;2;yes
53;management;6571;no;married;tertiary;no;no;cellular;1;yes
39;services;2758;no;married;secondary;no;no;cellular;3;yes
55;management;2037;no;divorced;tertiary;no;no;cellular;2;yes
32;student;0;no;single;tertiary;no;no;cellular;3;yes
76;retired;2223;no;married;primary;no;no;telephone;1;yes
35;admin.;1085;no;divorced;secondary;no;no;cellular;6;yes
55;admin.;602;no;married;secondary;no;no;cellular;2;yes
41;technician;1646;no;single;tertiary;no;yes;cellular;1;yes
35;unemployed;415;no;single;tertiary;no;no;cellular;1;yes
80;retired;2354;no;married;secondary;no;no;telephone;1;yes
38;technician;318;no;married;secondary;no;no;cellular;1;yes
48;blue-collar;1730;no;married;secondary;no;yes;cellular;1;yes
25;management;448;no;married;unknown;no;no;cellular;1;yes
36;admin.;994;no;single;tertiary;no;no;cellular;1;yes
29;housemaid;19;no;single;tertiary;no;no;cellular;2;yes
58;NA;1625;NA;married;secondary;no;no;cellular;2;yes
46;blue-collar;1144;no;married;secondary;no;yes;cellular;2;yes
23;admin.;897;no;single;tertiary;no;yes;cellular;2;yes
67;retired;704;no;divorced;secondary;no;no;cellular;2;yes
30;management;1996;no;married;tertiary;no;no;cellular;3;yes
22;student;216;no;single;secondary;no;no;cellular;1;yes
45;admin.;1206;no;married;secondary;no;no;telephone;1;yes
40;management;1855;no;married;tertiary;no;no;telephone;6;yes
35;management;62;no;married;tertiary;no;no;cellular;2;yes
33;student;1536;no;married;secondary;no;no;cellular;1;yes
60;technician;824;no;married;secondary;no;yes;cellular;1;yes
24;student;235;no;single;tertiary;no;no;cellular;1;yes
18;student;108;no;single;unknown;no;no;cellular;1;yes
65;entrepreneur;2331;no;married;tertiary;no;no;telephone;1;yes
NA;management;390;no;single;tertiary;no;no;cellular;2;yes
35;admin.;-32;yes;single;secondary;no;no;cellular;4;yes
39;NA;172;no;single;tertiary;no;yes;cellular;2;yes
53;admin.;10541;no;married;secondary;no;no;cellular;2;yes
23;student;480;no;single;secondary;no;no;cellular;2;yes
NA;admin.;2374;no;married;secondary;no;yes;cellular;2;yes
NA;management;479;no;single;tertiary;no;no;cellular;2;yes
52;unemployed;94;no;married;secondary;no;no;cellular;1;yes
36;student;417;no;single;unknown;no;no;cellular;1;yes
NA;retired;2557;NA;married;tertiary;no;yes;cellular;2;yes
58;technician;589;no;married;secondary;no;yes;cellular;3;yes
48;unemployed;201;no;divorced;secondary;no;no;cellular;2;yes
34;management;2885;no;divorced;tertiary;no;no;cellular;2;yes
58;management;2155;yes;married;secondary;no;no;cellular;2;yes
39;technician;NA;no;divorced;secondary;no;yes;cellular;2;yes
44;management;1791;no;married;tertiary;no;no;cellular;1;yes
54;unknown;2206;no;married;secondary;no;no;cellular;1;yes
27;student;5291;no;single;tertiary;no;no;cellular;1;yes
77;retired;638;no;married;secondary;no;no;cellular;1;yes
30;NA;4448;no;single;secondary;no;no;cellular;8;yes
61;retired;5267;no;married;tertiary;no;no;cellular;3;yes
76;retired;3324;no;married;primary;no;no;cellular;1;yes
28;blue-collar;61;no;married;secondary;no;yes;cellular;1;yes
35;management;0;no;married;tertiary;no;yes;cellular;2;yes
59;technician;NA;no;married;secondary;no;no;cellular;1;yes
42;blue-collar;413;no;married;secondary;no;yes;cellular;2;yes
35;self-employed;353;no;single;tertiary;no;no;cellular;1;yes
71;retired;1712;no;married;secondary;no;no;cellular;1;yes
60;retired;523;no;married;secondary;no;no;cellular;1;yes
34;blue-collar;1454;no;married;secondary;no;yes;cellular;2;yes
57;retired;9367;no;married;primary;no;no;cellular;1;yes
75;retired;291;no;married;secondary;no;no;cellular;1;yes
64;retired;846;no;married;tertiary;no;no;cellular;1;yes
36;NA;341;no;married;tertiary;no;no;cellular;2;yes
29;technician;113;no;single;secondary;no;no;cellular;2;yes
34;management;13014;no;single;tertiary;no;no;cellular;1;yes
26;unemployed;632;no;single;secondary;no;no;cellular;1;yes
41;management;NA;no;married;tertiary;no;no;cellular;2;yes
47;blue-collar;3715;no;married;secondary;no;no;cellular;2;yes
52;management;4675;no;married;tertiary;no;no;cellular;3;yes
32;technician;3271;no;married;secondary;no;no;cellular;1;yes
21;student;123;no;single;secondary;no;no;telephone;5;yes
NA;technician;10185;no;married;secondary;no;no;cellular;1;yes
29;management;1026;no;single;tertiary;no;no;cellular;2;yes
32;management;905;no;married;tertiary;no;no;cellular;4;yes
38;services;775;no;married;secondary;no;no;cellular;3;yes
48;unemployed;926;no;married;secondary;no;no;cellular;4;yes
46;management;349;no;married;tertiary;no;no;cellular;2;yes
32;technician;484;no;married;secondary;no;yes;cellular;6;yes
49;services;1830;no;married;primary;no;yes;cellular;1;yes
37;management;2987;no;married;tertiary;no;yes;cellular;1;yes
37;technician;197;no;single;tertiary;no;no;cellular;1;yes
23;student;431;no;single;secondary;no;no;cellular;3;yes
58;admin.;169;no;married;secondary;no;no;cellular;1;yes
45;management;226;no;married;tertiary;no;yes;cellular;4;yes
30;unemployed;2424;no;single;secondary;no;no;cellular;1;yes
23;student;NA;NA;single;secondary;no;no;cellular;1;yes
34;management;271;no;married;tertiary;no;yes;cellular;1;yes
27;management;-69;no;single;tertiary;no;yes;cellular;3;yes
28;student;1562;no;single;tertiary;no;no;cellular;4;yes
61;self-employed;52587;no;divorced;tertiary;no;no;cellular;3;yes
27;blue-collar;535;no;single;secondary;no;no;cellular;1;yes
34;management;2159;no;single;tertiary;no;no;unknown;1;yes
52;technician;195;no;married;secondary;no;yes;cellular;1;yes
28;technician;154;no;single;secondary;no;yes;cellular;2;yes
35;management;681;no;single;tertiary;no;no;cellular;1;yes
66;retired;2326;yes;married;secondary;no;no;cellular;1;yes
52;services;961;yes;married;secondary;no;no;cellular;1;yes
26;NA;2532;yes;single;tertiary;no;yes;cellular;1;yes
38;management;455;no;single;tertiary;no;yes;cellular;2;yes
59;self-employed;2013;no;married;tertiary;no;no;cellular;4;yes
47;blue-collar;1568;no;married;secondary;no;yes;cellular;1;yes
22;NA;NA;no;single;unknown;no;no;cellular;3;yes
82;retired;121;no;married;secondary;no;no;telephone;1;yes
60;retired;1;no;divorced;secondary;no;no;cellular;1;yes
53;management;597;no;married;tertiary;no;no;unknown;1;yes
39;management;763;no;single;tertiary;no;no;cellular;1;yes
27;unknown;326;no;single;unknown;no;no;cellular;1;yes
35;management;1380;no;married;tertiary;no;no;cellular;1;yes
80;housemaid;0;no;married;primary;no;no;cellular;1;yes
47;admin.;368;no;married;secondary;no;no;cellular;1;yes
72;retired;NA;no;divorced;tertiary;no;no;cellular;1;yes
45;management;483;no;single;tertiary;no;no;cellular;2;yes
37;unemployed;7620;no;married;tertiary;no;no;telephone;1;yes
29;self-employed;805;no;single;tertiary;no;no;cellular;1;yes
40;management;0;no;single;tertiary;no;yes;cellular;2;yes
32;management;302;yes;married;tertiary;no;yes;unknown;1;yes
20;student;215;no;single;secondary;no;no;cellular;1;yes
48;housemaid;5473;no;married;tertiary;no;no;cellular;2;yes
NA;admin.;106;no;married;secondary;no;no;cellular;1;yes
70;retired;2346;no;married;primary;no;no;cellular;1;yes
78;retired;3219;no;divorced;secondary;no;no;cellular;1;yes
52;admin.;2227;no;single;unknown;no;no;cellular;2;yes
NA;self-employed;6610;no;divorced;tertiary;no;no;cellular;2;yes
27;services;195;no;single;secondary;no;yes;cellular;3;yes
63;technician;NA;no;married;secondary;no;no;cellular;1;yes
59;technician;7766;no;married;secondary;no;yes;cellular;1;yes
22;student;948;no;single;secondary;no;no;telephone;1;yes
66;management;2149;no;married;unknown;no;yes;cellular;1;yes
74;retired;NA;no;married;primary;no;no;cellular;2;yes
52;technician;117;no;married;secondary;no;no;cellular;3;yes
71;retired;0;NA;divorced;secondary;no;no;cellular;1;yes
33;management;71;no;married;tertiary;no;no;cellular;3;yes
56;technician;1938;yes;married;secondary;no;no;cellular;1;yes
30;management;5359;NA;single;tertiary;no;no;cellular;1;yes
73;retired;519;no;married;unknown;no;no;telephone;3;yes
28;blue-collar;-46;no;single;secondary;no;yes;cellular;1;yes
27;technician;1075;no;single;tertiary;no;no;cellular;1;yes
38;services;NA;no;single;secondary;no;no;cellular;1;yes
28;technician;598;NA;single;secondary;no;yes;cellular;1;yes
37;management;1027;no;single;tertiary;no;yes;cellular;1;yes
47;technician;235;no;married;primary;no;no;cellular;2;yes
60;retired;2;no;divorced;tertiary;no;no;cellular;4;yes
42;technician;4945;no;married;secondary;no;yes;cellular;2;yes
27;student;311;no;single;tertiary;no;no;telephone;3;yes
25;student;154;no;single;secondary;no;no;cellular;1;yes
90;retired;712;no;divorced;primary;no;no;telephone;1;yes
29;student;7585;no;single;unknown;no;no;cellular;2;yes
29;technician;2489;no;single;tertiary;no;yes;cellular;1;yes
63;retired;2896;no;married;secondary;no;no;cellular;2;yes
32;management;NA;no;single;tertiary;no;no;cellular;2;yes
32;management;2667;no;married;tertiary;no;yes;cellular;1;yes
42;management;144;no;married;tertiary;no;no;cellular;1;yes
26;admin.;760;no;single;tertiary;no;yes;cellular;2;yes
73;retired;1050;no;single;secondary;no;no;cellular;3;yes
26;student;5296;no;single;secondary;no;no;cellular;1;yes
60;admin.;12980;no;married;secondary;no;no;cellular;1;yes
25;blue-collar;509;no;single;secondary;no;no;cellular;1;yes
64;retired;1644;no;married;tertiary;no;no;telephone;4;yes
68;retired;451;no;married;primary;no;no;cellular;1;yes
NA;services;53;no;married;secondary;no;no;unknown;1;yes
40;unemployed;NA;no;single;secondary;no;no;cellular;1;yes
37;management;6771;no;married;tertiary;no;no;cellular;1;yes
36;services;52;no;married;secondary;no;yes;cellular;2;yes
33;management;2240;no;divorced;tertiary;no;no;cellular;2;yes
83;retired;NA;no;married;tertiary;no;no;telephone;1;yes
31;technician;1570;no;married;tertiary;no;yes;cellular;4;yes
64;unemployed;588;no;divorced;secondary;no;no;cellular;1;yes
59;unemployed;957;no;married;secondary;no;no;cellular;1;yes
33;management;224;no;single;tertiary;no;no;cellular;2;yes
35;management;2161;no;married;tertiary;no;no;cellular;2;yes
69;retired;426;no;married;unknown;no;no;telephone;1;yes
31;management;147;no;single;tertiary;no;no;cellular;1;yes
73;retired;508;no;married;primary;no;no;cellular;1;yes
35;technician;294;no;married;secondary;no;yes;cellular;1;yes
28;management;1825;no;single;tertiary;no;no;cellular;1;yes
NA;management;158;no;married;tertiary;no;no;cellular;3;yes
33;management;0;no;married;tertiary;no;yes;cellular;1;yes
36;services;4721;no;married;secondary;no;no;cellular;2;yes
44;management;282;no;married;unknown;no;no;cellular;2;yes
19;student;108;no;single;unknown;no;no;cellular;2;yes
28;management;187;no;single;tertiary;no;no;cellular;1;yes
51;blue-collar;3764;no;married;primary;no;no;telephone;3;yes
52;NA;1416;no;married;secondary;no;no;cellular;2;yes
61;retired;2801;yes;married;secondary;no;yes;cellular;1;yes
39;management;494;no;married;tertiary;no;no;cellular;2;yes
37;unemployed;1978;no;married;secondary;no;no;cellular;1;yes
NA;retired;155;no;married;primary;no;no;telephone;1;yes
61;admin.;4608;no;married;secondary;no;no;cellular;1;yes
72;NA;951;yes;married;secondary;no;no;cellular;3;yes
36;management;495;no;married;tertiary;no;no;cellular;3;yes
74;retired;1843;no;married;tertiary;no;no;cellular;1;yes
35;blue-collar;262;no;married;secondary;no;no;cellular;1;yes
82;retired;0;no;divorced;primary;no;no;telephone;2;yes
71;retired;3561;no;married;tertiary;no;no;telephone;7;yes
38;housemaid;465;no;single;secondary;no;yes;cellular;1;yes
38;management;76;no;married;unknown;no;no;cellular;1;yes
53;admin.;1796;no;married;secondary;no;no;telephone;1;yes
29;management;NA;no;single;tertiary;no;yes;cellular;1;yes
64;retired;2140;no;married;primary;no;no;cellular;3;yes
35;unemployed;295;no;single;secondary;no;no;unknown;1;yes
35;admin.;304;no;married;secondary;no;no;cellular;1;yes
NA;management;624;no;divorced;tertiary;no;no;cellular;1;yes
25;blue-collar;303;no;single;secondary;no;no;cellular;1;yes
46;management;273;no;married;tertiary;no;yes;cellular;2;yes
59;management;3342;no;married;tertiary;no;no;cellular;2;yes
35;technician;1227;no;single;secondary;no;no;cellular;4;yes
22;technician;283;no;single;secondary;no;yes;cellular;2;yes
31;management;3384;no;single;tertiary;no;no;cellular;3;yes
43;management;2367;no;divorced;tertiary;no;no;cellular;2;yes
35;management;5958;no;single;tertiary;no;yes;cellular;1;yes
60;admin.;3735;no;married;secondary;no;no;cellular;1;yes
54;management;2693;no;married;secondary;no;no;cellular;1;yes
29;self-employed;655;no;single;tertiary;no;no;cellular;1;yes
30;student;1681;no;single;secondary;no;no;cellular;1;yes
28;management;866;no;single;tertiary;no;no;cellular;2;yes
43;services;774;no;married;secondary;no;no;cellular;1;yes
37;services;2678;no;married;secondary;no;no;cellular;1;yes
62;management;3371;no;married;tertiary;no;no;cellular;1;yes
57;management;10583;no;married;tertiary;no;no;cellular;1;yes
33;management;4176;no;single;tertiary;no;no;cellular;3;yes
47;management;334;NA;single;tertiary;no;yes;cellular;1;yes
39;technician;393;no;single;tertiary;no;no;cellular;1;yes
NA;self-employed;916;no;single;tertiary;no;no;cellular;2;yes
28;admin.;832;no;single;tertiary;no;no;telephone;3;yes
57;management;3287;no;divorced;tertiary;no;no;cellular;2;yes
23;services;488;NA;single;secondary;no;no;cellular;1;yes
56;housemaid;1947;no;single;tertiary;no;no;unknown;1;yes
44;admin.;558;NA;divorced;tertiary;no;yes;cellular;2;yes
80;retired;235;no;divorced;primary;no;no;cellular;1;yes
47;management;288;no;married;tertiary;no;no;cellular;1;yes
27;student;6036;no;single;secondary;no;no;cellular;1;yes
26;management;3;yes;single;tertiary;no;yes;cellular;1;yes
50;technician;0;no;divorced;secondary;no;no;cellular;1;yes
84;retired;81204;no;married;secondary;no;no;telephone;1;yes
86;retired;5236;no;married;primary;no;no;telephone;2;yes
46;management;NA;no;married;unknown;no;no;telephone;3;yes
45;technician;1348;yes;married;secondary;no;no;cellular;2;yes
60;blue-collar;7929;no;married;primary;no;no;unknown;1;yes
47;admin.;70;no;married;secondary;no;yes;cellular;4;yes
53;admin.;459;no;married;secondary;no;no;cellular;1;yes
54;technician;2102;no;married;secondary;no;yes;cellular;1;yes
19;student;394;no;single;secondary;no;no;cellular;3;yes
24;student;4126;no;single;secondary;no;no;cellular;4;yes
39;management;224;no;divorced;tertiary;no;no;cellular;1;yes
53;technician;9001;no;married;tertiary;no;no;cellular;1;yes
29;management;560;no;single;unknown;no;no;cellular;1;yes
30;management;102;no;married;tertiary;no;yes;cellular;7;yes
32;management;1088;NA;single;secondary;no;yes;cellular;1;yes
33;self-employed;562;yes;single;tertiary;no;yes;cellular;1;yes
33;management;718;no;single;tertiary;no;yes;cellular;1;yes
57;retired;230;no;married;unknown;no;no;cellular;2;yes
27;technician;-67;NA;single;tertiary;no;yes;cellular;3;yes
55;management;3848;no;married;tertiary;no;yes;cellular;2;yes
36;management;579;no;single;tertiary;no;no;unknown;1;yes
26;management;1646;NA;single;tertiary;no;no;cellular;4;yes
31;admin.;1229;no;married;secondary;no;no;cellular;1;yes
25;unemployed;129;no;single;primary;no;no;cellular;3;yes
49;NA;197;no;married;secondary;no;yes;cellular;1;yes
30;management;3779;no;single;tertiary;no;no;cellular;1;yes
32;management;2016;no;single;tertiary;no;no;cellular;1;yes
