Bolsa;Rubor;Esmalte_uñas;Pinceles;Corrector;Lápiz_Ceja;Bronceador;Delineador_labios;Mascara;Sombra_Ojos;Maquillaje_Fondo;Brillo_Labios;Lapiz_Labial;Delineador_Ojos
F;T;F;F;T;T;F;T;T;T;F;F;T;F
F;T;F;F;T;F;T;T;F;F;F;F;T;T
F;T;F;F;T;F;F;F;F;F;F;F;T;T
F;F;F;F;F;F;F;F;F;F;T;F;T;F
F;T;T;F;F;F;F;F;F;F;T;T;T;T
F;T;T;T;T;F;T;F;T;T;T;F;T;T
F;T;T;T;F;F;F;F;T;T;F;F;T;T
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;T;F;T;T;F;F;F;F;F;F
F;F;F;F;F;F;F;T;F;F;T;F;F;F
T;T;T;T;F;F;F;F;T;T;T;F;F;F
F;F;F;F;T;F;F;F;F;T;T;T;T;T
F;F;T;T;T;F;T;F;T;T;F;T;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;T;F;F;F
F;T;F;F;T;F;F;F;T;T;T;F;F;F
F;T;T;T;F;F;F;F;T;T;F;F;T;F
F;F;F;F;F;F;F;F;T;T;T;T;T;F
F;T;F;F;T;F;T;T;F;F;F;T;T;T
F;F;F;F;F;F;F;F;F;F;T;T;T;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;T;F;F;F;T;F;T;F
F;T;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;F;F;F;T;F;F;F;F;F;T;T;F;F
F;F;F;F;T;F;T;F;F;F;T;F;F;T
F;F;F;F;T;F;T;T;F;F;F;F;T;T
F;F;T;F;F;F;T;F;F;T;T;F;F;F
F;T;F;F;T;F;F;T;T;F;F;T;F;F
F;F;F;F;T;F;F;T;F;F;T;F;F;F
F;F;F;F;T;F;F;T;F;F;T;F;F;T
F;T;F;F;T;F;F;F;F;F;T;F;T;T
F;F;T;T;F;F;F;F;F;F;T;T;F;F
F;T;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;T;T;T;T;F;F
F;T;T;F;T;F;F;F;T;T;T;T;F;F
F;T;F;F;T;F;F;T;T;T;F;F;F;T
F;F;T;F;T;F;T;F;F;F;F;T;F;T
F;F;T;F;T;F;F;F;F;F;F;F;T;T
F;F;T;T;T;F;F;F;T;T;F;F;F;F
F;T;F;F;T;F;T;F;F;F;F;T;T;T
T;T;T;T;T;F;T;T;T;T;F;F;F;F
F;F;F;F;F;F;F;F;T;T;T;T;F;F
F;F;T;T;F;F;F;F;F;F;T;T;T;F
F;T;T;T;F;F;F;F;T;T;T;T;T;T
F;T;F;F;F;F;F;F;T;T;F;F;F;F
F;T;F;F;F;F;F;F;T;T;F;F;T;F
F;T;F;F;T;F;T;F;T;T;F;T;F;F
F;F;F;F;T;F;T;T;T;T;F;F;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;T;F;F;T;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;F;F;F;F;T;F;F;F
F;F;F;F;T;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;T;F;F;F;T;F;T;F
F;T;F;F;F;F;F;F;F;F;T;T;T;F
F;T;F;F;T;F;F;T;F;F;T;F;T;F
F;F;F;F;F;F;F;F;T;T;T;T;T;F
F;T;F;F;T;F;F;T;T;T;T;F;F;F
F;T;T;F;F;F;T;F;T;T;F;T;T;F
F;F;T;F;T;F;F;F;F;F;T;T;F;T
F;T;T;F;T;F;F;T;T;T;T;F;F;T
F;T;F;F;F;F;F;F;F;F;F;F;T;T
F;F;F;F;T;F;F;F;F;F;T;T;T;T
F;T;F;F;T;F;F;T;T;T;F;T;T;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;T;F;F;F;F;F;F;T;T;F;F;T;T
F;F;F;F;T;F;T;F;F;F;F;T;F;T
F;T;F;F;T;F;F;F;T;T;F;F;F;T
T;T;F;F;T;F;F;F;F;F;T;F;F;F
F;F;F;F;F;F;F;F;F;T;T;T;T;F
F;F;F;F;F;F;F;F;F;F;T;T;T;F
F;T;F;F;T;F;F;T;F;F;T;F;T;F
F;F;F;F;T;F;F;F;T;T;T;T;T;F
F;T;T;T;T;F;T;T;T;T;F;F;F;T
F;F;F;F;T;F;F;F;F;F;T;F;F;T
F;T;F;F;F;F;T;F;T;T;T;F;F;F
F;T;T;F;T;F;F;T;T;T;F;F;T;F
F;F;F;F;F;F;F;F;T;T;T;F;F;F
F;F;F;F;T;F;F;F;F;F;T;F;F;T
F;T;F;F;F;F;F;F;F;F;T;T;F;F
T;F;T;T;T;F;F;F;F;F;T;T;T;T
F;F;F;F;F;F;T;F;F;F;F;T;F;T
F;F;F;F;T;F;F;F;F;F;F;F;T;T
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;T;F;F;T;F;T;F;T;F;F
F;F;T;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;T
F;F;T;T;T;F;F;T;F;T;F;T;F;T
F;F;F;F;T;F;T;F;F;T;T;F;F;T
F;F;T;F;F;F;F;F;F;F;F;F;F;F
F;T;F;F;F;F;F;F;F;F;T;T;T;F
F;F;F;F;F;F;F;F;F;F;T;T;T;F
F;F;F;F;F;F;F;F;F;F;T;T;T;F
F;T;F;F;F;F;F;F;T;T;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;T;T
F;F;F;F;T;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;T;F;F;F;T;T;F
F;T;T;F;T;F;F;F;F;F;F;F;F;T
F;F;F;F;T;T;F;F;F;F;T;T;F;F
F;T;F;F;F;F;F;F;T;T;F;F;F;T
F;F;F;F;T;F;F;F;T;T;F;F;F;T
F;F;F;F;F;F;F;F;F;F;T;F;T;T
F;F;F;F;T;F;F;F;F;F;T;F;T;T
F;T;F;F;F;F;F;F;F;T;T;T;T;F
T;T;T;T;T;T;T;T;T;T;F;F;T;T
F;T;T;T;F;F;F;F;F;F;T;T;T;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;T;F;F;F;F;T;T;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;T;F;F;F;F;F;T;T;T;T;T;T
F;T;T;F;F;F;F;F;T;T;T;T;F;F
F;F;T;F;F;F;F;F;F;T;T;T;T;F
F;F;F;F;T;F;F;F;F;F;F;F;F;T
F;F;F;F;T;F;F;F;F;F;F;F;F;T
F;F;F;F;F;F;F;F;T;T;T;T;T;F
F;T;T;T;T;F;T;T;F;F;F;T;F;T
F;T;F;F;T;F;F;F;F;F;F;F;F;F
F;T;F;F;T;T;F;F;T;T;F;F;F;F
T;T;T;F;F;F;F;T;F;F;T;F;F;F
F;F;F;F;T;F;T;T;T;F;F;F;F;T
T;T;F;F;F;F;F;F;T;F;T;T;T;F
F;T;T;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;T
F;T;F;F;F;F;F;T;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;T;T
F;F;F;F;F;T;F;F;T;T;F;F;T;F
F;T;F;F;F;T;F;F;F;F;F;F;F;T
F;F;F;F;F;F;F;T;F;F;F;T;F;F
T;F;F;F;T;F;T;T;T;T;T;T;T;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;T;T;T;T;T;F
F;F;F;F;T;F;F;F;F;F;T;T;F;T
T;T;F;F;T;F;F;T;F;F;F;T;F;F
F;F;F;F;F;F;F;F;F;F;T;F;T;T
F;T;F;F;T;F;F;F;T;T;F;F;F;T
F;F;F;F;F;T;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;T;F;T;T;F;T
F;F;F;F;F;F;F;F;F;F;T;T;T;F
F;F;F;F;F;F;T;F;F;F;T;T;F;T
F;F;F;F;F;F;F;F;F;F;F;F;T;F
F;T;T;F;T;F;T;T;T;T;F;F;F;F
F;T;F;F;F;F;F;F;T;T;F;F;F;F
F;F;T;T;T;F;F;F;F;T;T;T;T;T
F;F;F;F;T;F;F;F;T;T;F;F;F;T
F;T;F;F;F;F;F;F;F;F;F;F;T;F
F;T;F;F;F;F;F;F;F;T;T;T;F;F
F;F;F;F;F;F;F;F;T;T;T;F;F;T
F;T;T;F;F;F;F;F;F;F;F;F;F;F
F;T;F;F;T;F;T;F;T;T;T;F;F;F
F;F;T;F;T;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;T;F
F;T;F;F;F;F;F;F;T;T;F;F;F;T
F;F;F;F;F;F;F;F;T;T;T;T;F;F
F;T;T;T;F;T;T;F;T;T;F;T;T;T
F;F;F;F;F;F;F;F;T;T;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;F;F;F
F;T;T;F;T;F;T;F;T;T;T;F;F;T
F;F;T;F;F;F;F;F;F;F;T;T;T;F
F;T;F;F;T;F;T;F;T;T;F;T;F;T
F;F;F;F;T;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;F;F;T;T;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;F;T;F;F;F;F;F;F;F;T;T;F;F
F;T;F;F;F;F;F;F;T;T;F;F;T;F
F;T;F;F;T;F;T;T;F;F;T;T;T;T
F;F;F;F;T;F;F;F;F;F;T;F;F;T
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;T;F;F;F;F;F;F;F;T;T;F;F
F;T;F;F;T;F;T;F;F;F;F;T;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;T;T;F;T;F;F;F;F;F;F;F;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;T;F;F;T;F;F;F;T;T;F;F;F;T
F;F;F;F;F;F;F;F;T;T;T;T;F;T
F;T;F;F;T;F;T;T;F;F;T;T;F;T
F;T;F;F;T;F;F;F;F;F;T;F;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;T;F;T;F;F;F;T;T;F;F;T;T
F;F;F;F;F;F;F;F;T;T;T;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;T;F
F;F;T;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;T;T;T;F
F;T;F;F;F;F;F;F;F;F;F;F;T;F
F;F;F;F;T;F;T;F;T;T;T;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;T;F;F;T;F;F;F;F;F;F;F;T;F
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;F;F;F;F;F;T;F;F;T;T;F;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;F;F;F;T;F;F;F;T;F;T;T;F;T
F;F;F;F;T;F;F;T;F;F;F;T;F;F
F;T;F;F;F;F;F;F;F;F;F;F;F;F
F;T;F;F;F;F;F;F;F;F;T;T;F;F
F;T;F;F;F;F;F;F;F;F;F;F;F;T
F;F;F;F;F;F;F;F;T;T;F;F;F;T
F;F;F;F;T;F;T;F;F;F;F;T;F;T
F;F;F;F;F;F;F;F;F;F;T;F;T;F
F;F;F;F;F;F;F;F;F;F;T;T;T;T
F;F;F;F;F;F;T;T;T;T;F;T;T;F
F;F;T;F;T;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;T;F;F;F;T;F;F;T
F;F;F;F;F;F;F;F;F;F;F;F;T;F
F;F;F;F;F;F;F;F;T;T;T;F;F;T
F;F;F;F;T;F;F;T;F;F;T;F;F;T
F;T;T;F;T;F;F;F;T;F;T;T;F;T
F;F;F;F;T;F;F;F;F;F;T;T;F;T
T;T;F;F;T;T;F;F;T;T;T;F;T;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;T;F;F;F;F;F;F;F;F;T;T;F;F
F;F;T;F;F;F;F;F;T;T;T;T;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;T;F;F;F;F;F;F;F;T;T;T;T
F;T;F;F;T;F;F;T;F;F;F;T;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;T;F;F;T;F;F;F;T;T;T
F;F;F;F;F;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;F;F;F;F;T;T;F;T
F;F;T;F;F;F;F;F;T;T;F;F;F;T
F;F;F;F;F;F;F;F;F;F;T;T;T;T
F;F;F;F;T;F;F;F;F;F;F;F;T;T
F;F;F;F;F;F;F;F;F;F;T;T;F;T
F;F;F;F;T;F;F;F;F;F;F;F;F;T
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;T;F;F;F;F;F;F;F;F;T;T;F;F
F;T;F;F;F;F;F;F;T;T;T;T;T;F
F;F;F;F;F;F;F;F;F;F;T;F;F;T
F;F;F;F;T;F;F;F;F;T;T;T;T;T
T;T;T;F;T;F;T;F;T;T;T;T;T;T
F;T;F;F;F;F;F;F;T;T;T;F;T;F
F;F;T;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;F;F;F;F;T;F;F;F
F;F;T;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;T;T;T;T;T;F
F;F;F;F;F;F;T;F;F;T;T;F;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;T;T;T;T;F
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;T;F;F;F;F;F;F;F;F;T;T;T;F
F;F;F;F;F;F;T;F;F;F;F;T;T;F
F;F;T;T;F;F;T;F;T;F;T;F;T;T
F;F;T;T;F;F;F;F;F;F;T;T;F;F
F;F;T;T;T;F;T;F;F;F;T;T;F;F
T;F;T;F;F;F;F;F;T;T;T;T;F;F
F;T;F;F;F;F;F;F;T;T;T;F;F;F
F;F;T;F;F;F;F;F;F;F;F;F;F;F
F;T;F;F;T;F;F;F;T;F;T;T;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;T;F;T;T;T;F;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;T;F;F;T;F;F;T;F;F;T
F;F;F;F;F;F;F;F;F;T;T;T;F;F
F;T;T;F;F;F;F;F;T;T;T;T;F;F
F;F;F;F;F;F;F;F;F;F;F;F;T;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;T;F;F;F;F;F;F;F;F;T;T;F;F
T;F;F;F;F;T;F;F;F;F;F;F;F;T
F;T;T;T;F;F;T;F;T;T;T;F;T;F
F;T;F;F;F;F;F;T;F;F;T;F;F;F
F;T;F;F;T;F;F;T;T;T;F;T;F;T
F;T;F;F;T;T;F;T;T;T;F;F;T;T
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
T;F;T;T;F;F;F;F;F;F;T;F;F;F
F;F;T;T;T;F;F;T;F;F;F;T;F;T
F;T;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;T;F;F;T;T;F;F;T;F
F;T;F;F;F;F;F;T;T;T;T;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;T;F;F;F;T;F;F
F;T;F;F;T;F;T;F;T;F;T;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;T;F;T;F;F;T;T;F;F;T;F;T
F;F;F;F;F;F;F;F;F;F;F;F;T;T
F;F;T;F;F;F;F;F;F;F;F;F;F;F
F;T;F;F;T;F;F;T;F;F;F;T;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;T;F;F;F;F;F;F;F;F;T;T;T;F
F;F;F;F;F;F;F;F;T;T;F;F;F;T
F;F;F;F;F;F;T;T;F;F;F;F;F;F
F;F;F;F;F;F;F;F;T;F;T;T;F;F
F;T;T;F;T;F;F;T;F;F;F;T;F;F
F;F;F;F;F;F;F;F;F;F;T;F;F;F
F;F;F;F;F;F;F;F;T;T;F;F;F;F
F;T;F;F;T;F;F;F;T;T;F;F;F;F
F;T;F;F;T;F;F;F;F;F;T;T;F;T
F;T;T;F;F;F;T;F;T;T;F;T;F;F
F;F;F;F;F;F;F;F;T;T;F;F;T;T
F;F;F;F;F;F;F;F;F;T;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;T;F;T;F;T;F;F
F;F;T;F;F;F;F;F;F;F;T;T;F;T
F;F;F;F;T;F;T;T;T;T;F;F;F;F
F;F;T;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;T;F;F;F;T;T;F;F;T;T
F;T;F;F;F;F;F;F;F;F;F;F;F;F
F;T;F;F;F;F;F;F;F;F;T;T;T;T
F;T;F;F;F;F;T;T;F;T;F;F;F;F
F;F;F;F;T;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;F;F;F;T;F;F;F;F;F;F;F;T;T
F;T;F;F;T;F;F;T;F;F;T;F;F;T
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;T;F;F;F;F;F;T;F;F;F;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;T;T;T;F
F;F;F;F;F;F;F;F;F;F;T;F;F;F
F;F;F;F;F;F;T;F;F;F;F;T;F;T
F;F;F;F;F;F;F;F;T;T;F;F;F;T
F;T;T;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;T;T;T;T;F;F
F;F;F;F;T;F;F;F;T;T;T;T;T;F
F;F;F;F;F;F;F;F;T;T;F;F;T;T
F;F;F;F;F;F;F;F;F;T;T;T;F;T
F;F;T;F;F;F;F;F;F;F;T;T;T;T
F;F;F;F;T;F;F;F;F;F;T;T;F;T
F;F;F;F;T;F;F;F;T;T;T;T;F;T
F;F;F;F;T;F;F;F;T;T;F;F;T;T
F;F;F;F;F;F;F;F;F;F;T;F;F;F
F;T;F;F;F;F;F;F;T;T;T;T;F;T
F;F;T;F;T;F;F;F;F;F;T;F;T;T
T;F;T;T;F;F;F;F;T;T;F;F;F;F
F;T;T;T;F;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;T;F;T;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;F;F;F
F;T;F;F;T;F;F;T;F;F;T;F;T;T
F;F;F;F;T;F;T;T;F;F;T;T;F;T
F;F;F;F;F;F;T;F;F;F;T;F;F;F
F;F;F;F;T;F;F;F;F;F;F;F;T;T
F;F;T;F;F;F;F;F;F;F;F;F;F;T
F;T;T;F;T;F;F;F;T;T;T;F;F;F
F;T;F;F;F;F;F;F;F;F;T;T;F;F
F;T;F;F;F;T;T;F;F;F;F;T;T;F
F;F;F;F;F;F;F;F;T;T;T;T;T;T
F;T;F;F;T;F;T;T;T;T;T;T;F;F
F;F;F;F;T;F;F;T;F;F;T;F;F;T
F;T;T;F;T;F;F;F;F;F;T;T;F;T
F;F;F;F;T;F;F;F;F;F;T;F;F;F
F;T;F;F;T;F;F;T;F;T;F;T;T;T
F;F;F;F;F;F;F;F;F;F;T;T;T;F
F;F;T;F;T;F;F;F;F;F;T;T;F;T
F;T;T;F;F;F;F;F;F;F;F;F;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;T;T;F;T;F;F;F;T;T;T;T;F;T
F;F;F;F;T;F;F;F;F;F;F;F;F;F
F;T;T;F;T;F;F;F;T;F;T;T;F;F
F;F;F;F;T;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;F;F;F;F;F;F;T;F
F;F;T;T;F;F;F;F;T;F;T;T;F;F
F;F;F;F;F;F;F;F;T;T;T;T;F;F
F;T;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;T;F;F;F;F;F;T;T;T;T
F;T;F;F;F;T;F;F;T;T;F;F;F;T
F;F;T;T;T;F;T;T;T;T;T;T;F;T
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;T;F;F;T;F;F;T;T;T;F;T;F;T
F;F;F;F;F;F;F;F;F;T;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;T;T;F;F;T;F;F;T;T;T;T;F;F
F;T;F;F;T;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
T;F;T;F;F;F;T;T;T;T;F;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;T
F;T;F;F;T;F;F;F;T;T;F;F;T;F
F;F;F;F;F;F;F;F;F;F;F;F;T;F
F;T;F;F;F;T;F;F;F;F;F;F;T;F
F;F;F;F;F;F;F;F;F;F;T;F;F;T
F;F;F;F;T;F;F;T;F;F;F;T;T;T
F;T;F;F;F;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;F;F;F;F;T;F;T;T
F;F;F;F;T;F;F;F;F;F;F;F;F;T
F;F;F;F;T;F;F;F;F;F;T;T;T;T
F;F;F;F;T;F;F;F;F;F;T;F;F;T
F;F;F;F;F;F;T;F;F;F;T;F;F;F
F;T;F;F;F;T;F;F;F;T;T;T;T;F
F;T;F;F;F;F;F;F;F;F;F;F;T;T
F;F;F;F;T;F;F;F;F;F;F;F;F;T
F;F;F;F;F;F;F;F;F;F;T;F;T;T
F;F;F;F;F;F;F;F;F;F;F;F;T;F
F;F;F;F;F;F;F;T;F;F;F;T;T;T
F;T;F;F;T;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;T;F
F;T;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;F;F;T
T;T;T;T;F;F;F;F;T;T;F;F;T;F
F;T;F;F;F;F;F;F;T;T;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;F;T;T;F;F;T;T;F;F;F;F;T;F
F;T;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;F;F;T;F
F;F;F;F;T;F;F;T;F;F;T;F;F;T
F;T;T;F;F;F;F;F;F;F;F;F;F;T
F;F;F;F;T;F;F;F;F;F;T;T;F;F
F;T;F;F;F;F;F;F;T;T;T;T;F;T
F;F;F;F;F;F;F;F;F;F;T;F;T;F
F;F;F;F;F;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;F;F;F;T;T;T;F;F
F;F;T;F;F;F;F;T;F;F;F;T;T;F
F;F;T;F;F;F;F;F;F;F;F;F;F;T
F;T;F;F;F;F;F;F;F;T;T;T;F;T
F;T;F;F;F;F;F;F;F;F;T;T;F;T
F;T;T;T;F;F;F;F;T;F;T;T;F;T
F;F;F;F;F;F;F;F;T;T;T;T;F;F
F;T;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;T;F;F;F;T;T;T;T;F;F
F;F;T;T;F;F;F;T;F;F;T;F;T;F
F;F;F;F;F;F;F;F;F;T;T;T;F;T
F;F;T;T;T;F;F;F;T;T;F;F;F;F
F;T;F;F;F;F;F;F;F;F;T;F;F;F
F;F;F;F;T;F;T;T;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;F;F;T;T;T;F;F
F;T;F;F;T;F;F;T;T;T;F;T;F;F
F;T;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;F;T;F;T;F;F;F;F;F;T;F;F;T
F;F;T;F;F;F;F;F;T;T;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;T;F
F;F;F;F;F;F;F;F;T;T;F;F;F;T
F;T;F;F;F;F;F;F;T;T;T;T;F;F
F;T;F;F;F;F;F;F;T;T;T;F;F;F
F;F;F;F;F;F;T;T;F;T;F;F;F;T
F;F;F;F;F;F;T;F;T;T;T;F;F;F
F;T;T;T;F;F;F;T;F;F;T;F;F;T
F;F;F;F;T;F;F;F;F;F;F;F;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;T;F;F;F;F;F;F;T;T
F;T;F;F;T;F;F;F;T;T;T;T;F;T
F;F;F;F;F;F;F;F;F;F;T;T;F;T
F;F;F;F;F;F;F;T;F;F;T;F;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;T;F;F;F;T;T;T;T;F;F
F;F;F;F;F;F;F;F;T;T;T;F;F;F
F;F;F;F;F;F;F;F;T;T;T;T;T;F
F;F;F;F;F;F;F;F;F;F;T;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;T;T
F;F;T;T;F;F;F;F;F;F;F;F;F;F
F;F;F;F;T;F;F;F;F;F;T;F;F;T
F;F;F;F;F;F;T;T;F;F;T;T;F;F
F;T;F;F;T;F;T;F;F;F;F;T;F;T
F;F;T;T;T;F;F;T;T;T;F;F;F;T
F;F;F;F;T;F;F;F;F;F;F;F;F;T
F;F;F;F;F;F;F;F;T;T;T;T;T;T
F;T;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;T;F;F;T;F;F;F;F;F;T;T;T;T
F;T;F;F;F;F;F;F;T;T;T;T;F;F
F;F;F;F;F;F;F;F;F;F;T;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;F;F;F;T;F;F;F;F;F;T;F;F;T
F;T;F;F;F;F;F;F;F;F;F;F;F;F
T;F;F;F;F;F;F;F;F;F;F;F;T;T
F;F;F;F;F;F;F;F;T;T;F;F;T;F
F;F;T;F;F;F;F;F;T;T;F;F;F;F
F;F;F;F;F;F;F;F;F;F;T;T;T;F
F;F;F;F;F;F;F;F;T;T;T;T;T;F
F;T;T;F;F;F;F;F;F;F;F;F;F;F
F;F;T;T;F;F;T;T;F;F;F;F;F;F
F;T;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;T;F;F;F;F;F;F;F;F;F;T;F
T;F;F;F;F;F;F;F;T;T;T;F;F;T
F;F;F;F;F;F;F;F;F;F;F;F;T;F
F;F;F;F;F;F;F;F;T;T;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;F;F;F;F
F;F;F;F;F;F;F;F;F;F;T;F;F;T
F;F;F;F;F;F;F;F;F;F;F;F;F;T
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;T;F;T;F;T;F;T
F;T;F;F;F;F;F;F;F;F;T;T;F;F
F;F;T;T;F;F;F;F;T;T;F;F;F;T
F;F;F;F;F;F;F;F;F;F;T;T;F;F
F;F;F;F;F;F;F;T;T;F;F;T;F;F
F;F;F;F;F;F;F;F;F;F;F;F;T;F
F;F;T;F;F;F;T;F;T;T;F;T;F;F
F;F;F;F;F;F;F;F;F;F;F;F;T;F
F;F;T;T;F;F;T;T;F;F;F;F;F;F
F;F;T;T;F;F;F;F;F;F;F;F;F;F
F;T;F;F;F;F;F;T;F;F;F;T;F;F
F;F;F;F;T;F;F;F;F;F;F;F;F;T
